mobile_language|english|français|polski|nederlands|deutsch|italiano|español|português
comms autotrigger|emails and SMS sending|envois des SMS et emails|Wysyłanie e-maili i SMS-y|E-mails en SMS versturen|SMS und Email versenden|Invio degli SMS e emails|Envíos SMS y e-mails|Envios automáticos|SMS an E-Mails schécken
comm autotrigger|automatic sending|envois automatique|automatyczne wysyłanie|automatisch verzenden|automatisch senden|Invio automatico|Envío automatico|ativado por defeito|Automatesch schécken
default enabled|enabled by default|activé par défaut|Domyślnie włączona|Standaard ingeschakeld|Standardmäßig aktiviert|attivato per difetto|activado por defecto|ativado por defeito|Standardméisseg aktivéiert
default disabled|disabled by default|désactivé par défaut|Domyślnie wyłączona|standaard uitgeschakeld|standardmäßig deaktiviert|disattivato per difetto|desactivado por defecto|desabilitado por padrão|Standardméisseg desaktivéiert
in day enabled|enabled in the current day only|activé seulement dans la journée en cours|włączone tylko w bieżącym dniu|alleen op de huidige dag ingeschakeld|nur am aktuellen Tag aktiviert|abilitato solo nel giorno corrente|habilitado solo en el día actual|habilitado no dia atual apenas|Nëmmen am aktuelle Dag aktivéiert
aggregate search|Group appointments|Grouper les réservations|Spotkania grupowe|afspraken groeperen|Termine gruppieren|Raggruppare le prenotazioni|agrupar las reservas|Se o dia está vazio|Rendez-vous gruppéieren
if day is empty|If the day is empty|Si la journée est vide|Jeśli dzień jest pusty|Indien de dag leeg is|Wenn der Tag leer ist|Se la giornata è vuota|Si el día está vacío|Ofereça o mais cedo possível|Wann den Dag eidel ass
fill soon|Propose soonest time option|Proposer le plus tôt|Ustaw opcję najwcześniejsze|Stel de vroegste optie voor|Den frühesten Termin vorschlagen|Proporre il più presto|Proponer lo antes posible|Proposer le plus tôt Ofereça o mais cedo possível|Fréistméigleche Rendez-vous proposéieren
fill late|Propose latest time option|Proposer le plus tard|Ustaw ostatnią opcję|Stel de laatste optie voor|Den spätesten Termin vorschlagen|Proporre il più tardi|Proponer lo más tarde posible|Proposer le plus tard Ofereça o mais tarde possível|Spéitstméigleche Rendez-vous proposéieren
fill both|Propose first and last options|Proposer les plus tôt et tard|Zapytaj najwcześniejsze i najnowsze opcje|Stel vroegste en laatste opties voor|Den frühesten und den spätesten Termin vorschlagen|Proporre il più presto e il più tardi|Proponer lo antes y lo más tarde posible|Ofereça o mais cedo e o mais tarde|Éischt a lescht Rendez-vous proposéieren
offer choices from|Offer choices from|Offrir le choix de|Oferta z wyborów|Bieden keuzes uit|Die Wahl lassen aus|Offrire la scelta di|Ofrecer la posibilidad de elegir entre|Oferecer a escolha de|Wiel proposéieren aus
periodicity|Periodicity|Périodicité|Okresy|Periodiciteit|Periodizität|Periodicità|Frecuencia|Periodicidade|Periodizitéit
daily|daily|journalière|codziennie|dagelijks|täglich|giornaliera|diario|diário|Dagsiwwer
weekly|weekly|hebdomadaire|tydzień|wekelijks|wöchtentlich|settimanale|semanal|semanário|Wöchentlech
semimonthly|semimonthly|bimensuelle|dwa tygodnie|halfmaandelijks|zweimonatlich|bimestrale|bimensual|bimensal|Halbmoundlech
2 weeks|2 weeks|2 semaines|2 tygodnie|2 weken|2 Wochen|2 settimane|2 semanas|2 semanas|2 Wochen
3 weeks|3 weeks|3 semaines|3 tygodnie|3 weken|3 Wochen|3 settimane|3 semanas|3 semanas|3 Wochen
4 weeks|4 weeks|4 semaines|4 tygodnie|4 weken|4 Wochen|4 settimane|4 semanas|4 semanas|4 Wochen
monthly|monthly|mensuelle|miesięcznie|maandelijks|monatlich|mensile|mensual|mensal|Mountlech
yearly|yearly|annuelle|roczny|jaarlijkse|jährlich|annuale|anual|anual|Jäerlech
copy of|Copy of |Copie de |Kopię|Kopie van |Kopie von|copia di|copia de|Cópia de |Kopie vun 
define schedule|Define a time range|Définir une plage horaire|Określić czas|Tijdbereik stellen|Einen Zeitraum definieren|Definire una fascia oraria|Definir una franja horaria|Definir en Zäitraum|En Zäitraum definéieren
adjust schedule|adjust a time range|ajuster une plage horaire|Ustaw zakres czasu|Tijdbereik aanpassing|Einen Zeitraum anpassen|aggiustare una fascia oraria|ajustar una franja horaria|ajustar um intervalo horário|En Zäitraum upassen
exc available|Exceptionally available|Libre exceptionnellement|Wyjątkowo dostępne|Uitzonderlijk beschikbaar|außerordentlich verfügbar|Libero eccezionalmente|Libre excepcionalmente|Livre excecionalmente|Ausnahmsweis verfügbar
time boxing|Time boxing|Blocs horaire|Szczelina|Tijdsblokken|Zeitblöcke|Blocchi orario|Bloqueos horarios|Blocos horário|Zäitblécker
exclusive tboxing|Exclusive|Exclusif|Ekskluzywny|Exclusief|Exklusiv|Esclusivo|Exclusivos|Exclusivo|Exklusiv
unavailable|Unavailable|Indisponible|Niedostępny|Niet beschikbaar|Nicht verfügbar|Indisponibile|No disponible|Indisponível|Net verfügbar
unavailability|Unavailability|Indisponibilité|Niedostępność|Onbeschikbaarheid|Nichtverfügbarkeit|Indisponibilità|Indisponibilidad|Indisponibilidade|Netverfügbaarkeet
closed day|Day closed|Journée fermée|Dzień zamknięty|Dag gesloten|Tag geschlossen|Giornata chiusa|Día cerrado|Dia fechado|Dag zou
time box slicing|subdivide|Subdiviser|Dzielić na mniejsze części|Onderverdelen|Unterteilen|Suddividere|Subdividir|Subdividir|Ënnerdeelen
no slicing|No subdivision|Pas de subdivision|Nie podział|Geen onderverdeling|Keine Unterteilung|Nessuna suddivisione|Ninguna subdivisión|Sem subdivisão|Keng Ënnerdeelung
account|account|Compte|Konto|account|Konto|Conto|Cuenta|Conta|Kont
display|Display|affichage|Wyświetlania|Weergave|anzeige|Visualizzazione|Visualización|Exibição|Affichage
agendas|agendas|agendas|Porządek|agendas|Kalender|agende|agenda|agendas|Agendas
logins|Logins|Logins|Loginów|Toegang|Logins|Logins|Logins|Logins|Logins
comms|Communications|Communications|Komunikacja|Communicaties|Kommunikation|Comunicazioni|Comunicaciones|Comunicações|Kommunikatiounen
workcodes|Performances|Prestations|Usług|Prestaties|Leistungen|Prestazioni|Servicios|Prestações|Leeschtungen
inclusive|Inclusive|Inclus|Włącznie|Inbegrepen|Inklusiv|Incluso|Incluido|Incluído|Inklusiv
duplicate account|Duplicate account|Dupliquer le compte|Duplikat konto|account dupliceren|Konto duplizieren|Duplicare conto|Duplicar cuenta|Duplicar conta|Kont duplizéieren
rscs copy mode|Copy or move agendas|Copier ou Déplacer les agendas|Kopiuj lub przenieś harmonogramy|Kopieer of verplaats agenda's|Termine kopieren oder verschieben|Copia o sposta gli appuntamenti|Copiar o mover agendas|Copiar ou mover agendas|Agendas kopéieren oder réckelen
copy rscs to new acc|Copy selected agendas|Copier les agendas sélectionnés|Kopiuj wybrane harmonogramy|Kopieer geselecteerde agenda's|Ausgewählte Termine kopieren|Copia gli appuntamenti selezionati|Copiar agendas seleccionadas|Copiar agendas selecionadas|Kopéiert ausgewielten Agendas
move rscs to new acc|Move selected agendas|Déplacer les agendas sélectionnés|Przenieś wybrane harmonogramy|Verplaats geselecteerde agenda's|Ausgewählte Termine verschieben|Sposta gli appuntamenti selezionati|Mover agendas seleccionadas|Mover agendas selecionadas|Réckelt ausgewielten Agendas
visitors copy mode|Scope for visitors copy|Périmètre pour la copie des visitors|Zakres kopiowania visitors|Bereik voor het kopiëren van visitors|Umfang für die Kopie von visitors|Ambito per la copia dei visitors|Ámbito para la copia de visitors|Âmbito para a cópia de visitors|Beräich fir d'Kopie vun Visiteuren
copy all visitors|Copy all visitors from register|Copier tous les visitors du registre|Skopiuj visitors odwiedzających z rejestru|Kopieer alle visitors uit het register|Alle visitors aus dem Register kopieren|Copia tutti i visitors dal registro|Copiar todos los visitors del registro|Copiar todos os visitors do registro|Kopie all Visiteuren aus dem Register
copy appointed visitors|Copy only visitors who ever appointed.|Copier seulement les visitors vus dans l'agenda|Kopiuj tylko visitors, którzy kiedykolwiek mieli umówione spotkanie.|Alleen visitors kopiëren die ooit een afspraak hebben gemaakt.|Nur visitors kopieren, die jemals einen Termin vereinbart haben.|Copia solo i visitors che hanno mai fissato un appuntamento.|Copiar solo a los visitors que alguna vez han sido citados.|Copiar apenas os visitors que já foram agendados.|Kopie nëmme Visiteuren déi schonn en Rendez-vous haten.
reservations copy mode|Scope for reservations copy|Périmètre pour la copie des réservations|Zakres kopiowania rezerwacji|Bereik voor reserveringskopie|Umfang für Reservierungskopie|Ambito per la copia delle prenotazioni|Alcance para la copia de reservas|Âmbito para a cópia de reservas|Beräich fir d'Kopie vun den Reservatiounen
copy resa current|The last 4 weeks and the future|Les 4 dernières semaines et le futur|Ostatnie 4 tygodnie i przyszłość|De laatste 4 weken en de toekomst|Die letzten 4 Wochen und die Zukunft|Le ultime 4 settimane e il futuro|Las últimas 4 semanas y el futuro|As últimas 4 semanas e o futuro|Déi lescht 4 Wochen an d'Zukunft
include archived resas|Include archived reservations|Inclure également l'historique complet|Uwzględnij również zarchiwizowane rezerwacje|Inclusief gearchiveerde reserveringen|Archivierte Reservierungen einbeziehen|Includi anche le prenotazioni archiviate|Incluir también las reservas archivadas|Incluir também as reservas arquivadas|Archivéiert Reservatiounen abannen
accopy target mode|Target|Cible|Cel|Doel|Ziel|Bersaglio|Objetivo|Alvo|Zil
make a new account|Create a new account|Créer un nouveau compte|Załóż nowe konto|Maak een nieuw account|Ein neues Konto erstellen|Crea un nuovo account|Crear una nueva cuenta|Criar uma nova conta|En neie Kont erstellen
target an existing account|Target an existing account|Compléter un compte existant|Celuj w istniejące konto|Richt op een bestaand account|Ein bestehendes Konto anvisieren|Punta a un account esistente|Apuntar a una cuenta existente|Mire para uma conta existente|En existéierende Kont viséieren
colors&status|Colors & Status|Couleurs & Statuts|Kolory i status|Kleuren & Status|Farben & Status|Colori & Status|Colores y estados|Cores e Estatutos|Faarwen a Status
business name|account name|Nom du compte|Nazwa konta|accountnaam|Kontoname|Nome del conto|Nombre de la cuenta|Nome da conta|Kontonumm
customer id|Customer id|Numéro de client|Numer klienta|Klant nummer|Kundennummer|Numero di cliente|Número cliente|Número de cliente|Clientennummer
business|Business|Business|Biznes|Bedrijf|Unternehmen|Business|Negocio|Negócio|Geschäft
configuration|Configuration|Configuration|Konfiguracja|Configuratie|Einstellung|Configurazione|Configuración|Configuração|Konfiguratioun
business info|Business info|Informations de base|Dane podstawowe|algemene gegevens|allgemeine Informationen|Informazioni di base|Información básica|Informações de base|Betribsinformatiounen
patient or client|Visitors|Visiteurs|Klienci|Bezoekers|Besucher|Visitatori|Visitantes|Visitantes|Visiteuren
support contact|Your seller|Votre délégué|Przedstawiciel|U afgevaardigd|Ihr Verkäufer|Il Suo rappresentante|Su delegado|O seu delegado|Ären Verkeefer
your contract|Your contract|Votre contrat|Umowa|U contrakt|Ihr Vertrag|Il Suo contratto|Su contrato|O seu contrato|Äre Kontrakt
ep-use payment|Payment management|Gestion des paiements|zarządzanie płatnościami|betalingsbeheer|Zahlungsverwaltung|gestione dei pagamenti|gestión de pagos|gestão de pagamentos|Bezuelungsverwaltung
paiement ok|Paiement status|arriérés|Stan płatności|Regelings status|Zahlungsstatus|arretrati|Estado de pago|atrasos|Bezuelungsstatus
e-handle|e-Pay Provider Handle|Référence e-payment|Referencja e-płatności|e-Pay Provider referte|e-Pay Anbieterreferenz|Riferimento e-pagamento|Referencia e-pago|Referência e-pagamento|e-Pay Referenz
suspension|account suspended|Suspension du service|Konto zawieszone|Dienstschorsing|Konto gesperrt|Sospensione del servizio|Suspensión del servicio|Suspensão do serviço|Kont suspendéiert
payment ok|Payment ok|En ordre|Zapłacono|Klaar|Zahlung ok|Pagamento ok|En orden|Em dia|Bezuelung ok
payment nok|Missing|En défaut|Brak wpłaty|Defect|außer Betrieb|Mancante|En defecto|Em falta|Feelend
no e-payment|No e-payment|Pas d'e-paiement|Bez e-płatności|Geen e-betaling|Kein E-Payment|Nessun e-pagamento|Ningún e-pago|Sem e-pagamento|Keen e-Payment
ePayment bank|Bank transfer|Domiciliation|Zlecenie stałe|Domiciliëring|Überweisung|Bonifico|Transferencia bancaria|Domiciliação|Bank Iwwerweisung
ePayment VISA|VISA card|Carte VISA|VISA|VISA kaart|VISA|Carta VISA|Tarjeta VISA|Cartão VISA|VISA
ePayment MASTER|MasterCard|MasterCard|MasterCard|MasterCard|MasterCard|Mastercard|MasterCard|MasterCard|MasterCard
payment|payment|paiement|płatność|betaling|zahlung|pagamento|pago|pagamento|Bezuelung
payments|payments|paiements|płatności|betalingen|zahlungen|pagamenti|pagos|pagamentos|Bezuelungen
deposit|deposit amount|montant de l'acompte|kwota depozytu|aanbetalingsbedrag|Einzahlungsbetrag|importo del deposito|cantidad del depósito|valor do depósito|Acompte
e-payment|e-Payment|e-Paiement|e-płatność|e-Payment|e-Zahlung|e-Pagamento|e-Pago|e-pagamento|e-Bezuelung
e-invoicing|e-Invoicing|e-Facturation|e-faktura|e-Fakturatie|e-Rechnung|e-Fatturazione|e-Facturación|e-faturação|e-Fakturéierung
norm fee|Fee|abonnement|abonament|abonement|abo|abbonamento|Suscripción|Subscrição|Abonnement
credit|Credits|Crédits|Kredyty|Krediet|Gutschrift|Crediti|Créditos|Créditos|Credits
ex fee|Exceptional fee|abonement crédit|abonament (kredyty)|Krediet abonement|abo Gutschrift|abbonamento credito|Suscripción de crédito|Subscrição de crédito|Aussergewéinlech Frais
rate|Tax rate|TVA|VAT|BTW|MwSt|IVA|IVA|IVA|TVA
ep-perfs total|total according to rates|total selon tarif|suma według ceny|totaal volgens tarief|insgesamt nach Preis|totale in base al prezzo|total segun precio|total de acordo com o preço|Total no Tarif
ep-charged|total to charge|total à perçevoir|łączna należność|totaal te berekenen|insgesamt zu sammeln|totale credito|cuentas por cobrar totales|total a receber|Total ze verrechnen
ep-already paid|already paid|déjà payé|już zapłacone|al betaald|bereits bezahlt|già pagato|ya pagado|já pago|Schonn bezuelt
ep-balance|balance|reste à payer|pozostało do zapłaty|nog te betalen|Noch zu zahlen|saldo da pagare|saldo por pagar|saldo por pagar|Saldo
ep-payments-list|payments|paiements|płatności|betalingen|Zahlungen|pagamenti|pagos|pagamentos|Bezuelungen
pricing|rate|tarif|cennik|tarief|tarif|tariffa|precio|preço|Tarif
amount|amount|montant|kwota|bedrag|Betrag (EUR)|importo|importe|valor|Montant
ep-tip droprates|copy total according to rates onto total to charge|copier le montant selon tarif dans le total à percevoir|skopiuj kwotę według stawki do sumy do pobrania|copieer de totaal volgens tarief op de totaal te berekenen|Kopieren Sie den Betrag laut Tarif in die einzuziehende Gesamtsumme|copiare l'importo in base alla tariffa nel totale da riscuotere|copie el monto según la tarifa en el total a cobrar|copie o valor de acordo com a taxa no total a ser cobrado|Kopéiert de Betrag no Tarif op den Total ze verrechnen
mtitle new payment|new payment|nouveau paiement|nowa płatność|nieuwe betaling|neue Zahlung|nuovo pagamento|nuevo pago|novo pagamento|nei Bezuelung
mtitle payment|payment|paiement|Zapłata|betaling|Zahlung|pagamento|pago|pagamento|Bezuelung
ep-tab overview|overview|résumé|podsumowanie|overzicht|Zusammenfassung|riepilogo|resumen|resumo|Iwwerbléck
ep-tab qrcode|QR code|QR code|QR code|QR code|QR code|QR code|QR code|QR code|QR Code
ep-tab status|Progress|Progression|Progressie|Progressie|Fortschritt|Progresso|Progresión|Progresso|Fortschrëtt
ep-paytype not set|new payment|nouveau paiement|nowa płatność|nieuwe betaling|neue Zahlung|nuovo pagamento|nuevo pago|novo pagamento|nei Bezuelung
ep-paytype cash|cash|espèce|gotówka|contant|Kasse|contanti|dinero|dinheiro|Boergeld
ep-paytype sepa qr|SEPA transaction|virement SEPA|przelew SEPA|SEPA overschrijving|SEPA-Überweisung|bonifico SEPA|transferencia SEPA|transferência SEPA|SEPA Transaktioun
ep-paytype payconiq|payconiq|payconiq|payconiq|payconiq|payconiq|payconiq|payconiq|payconiq|Payconiq
ep-paytype cards|bank card|cartes bancaire|karta bankowa|bankpas|Bankkarte|Carta di credito|tarjeta bancaria|cartão do banco|Bankkaart
ep-paytype softpos|SoftPOS (bankcard)|SoftPOS (carte bancaire)|SoftPOS (karta bankowa)|SoftPOS (bankpas)|SoftPOS (Bankkarte)|SoftPOS (Carta di credito)|SoftPOS (tarjeta bancaria)|SoftPOS (cartão do banco)|SoftPOS (Bankkaart)
ep-paytype hardpos|Terminal (bankcard)|Terminal (carte bancaire)|Terminal (karta bankowa)|Terminal (bankpas)|Terminal (Bankkarte)|Terminal (Carta di credito)|Terminal (tarjeta bancaria)|Terminal (cartão do banco)|Terminal (Bankkaart)
ep-paytype onlinepayco|Payconiq Online|Payconiq Online|Payconiq Online|Payconiq Online|Payconiq Online|Payconiq Online|Payconiq Online|Payconiq Online|Payconiq Online
ep-paytype onlinecards|Cards Online|Par carte Online|Cards Online|Bankpas Online|Bankkarte Online|Cards Online|Cards Online|Cards Online|Kaarte Online
ep-paytype onlinebancontact|Bancontact Online|Bancontact Online|Bancontact Online|Bancontact Online|Bancontact Online|Bancontact Online|Bancontact Online|Bancontact Online|Bancontact Online
ep-communication|communication|communication|komunikacja|communicatie|kommunikation|comunicazione|comunicación|comunicação|Kommunikatioun
ep-account holder|holder name|titulaire|właściciel konta|account eigenaar|Bankkontoinhaber|titolare di conto|dueño de cuenta|proprietário da conta|Kontoinhaber
ep-payconiq key|Payconiq key|clé Payconiq|Klawisz do Payconiq|Payconiq sleutel|Payconiq-Schlüssel|chiave a Payconiq|clave a Payconiq|Chave Payconiq|Payconiq Schlëssel
ep-computop-ec id|Computop id|Computop id|Computop id|Computop id|Computop id|Computop id|Computop id|Computop id|Computop ID
ep-computop-ec pass|Computop pass|Computop pass|Computop pass|Computop pass|Computop pass|Computop pass|Computop pass|Computop pass|Computop Pass
ep-computop-ec hmac|Computop hmac|Computop hmac|Computop hmac|Computop hmac|Computop hmac|Computop hmac|Computop hmac|Computop hmac|Computop HMAC
ep-counterparty|counterparty account|compte contrepartie|konto kontrahenta|account eigenaar|Konto der Gegenpartei|conto della controparte|cuenta de la contraparte|conta da contraparte|Géigenkonto
ep-operator status|operator status|status operateur|status operatora|operatorstatus|Betreiber-ID|stato dell'operatore|estado del operador|status do operador|Bedreiwerstatus
ep-operator transid|operator ident|identifiant opérateur|identyfikator operatora|operator-ID|Betreiberstatus|ID operatore|ident del operador|ID do operador|Bedreiwer-ID
ep-softpay-sp clid|softpay client id|softpay client id|softpay client id|softpay client id|softpay client id|softpay client id|softpay client id|softpay client id|Softpay Client ID
ep-softpay-sp clsc|softpay client secret|softpay client secret|softpay client secret|softpay client secret|softpay client secret|softpay client secret|softpay client secret|softpay client secret|Softpay Client Secret
ep-softpay-sp appid|softpay application id|softpay application id|softpay application id|softpay application id|softpay application id|softpay application id|softpay application id|softpay application id|Softpay Applikatioun ID
ep-hardpos-hp clid|hardpos client id|hardpos client id|hardpos client id|hardpos client id|hardpos client id|hardpos client id|hardpos client id|hardpos client id|Hardpos Client ID
ep-hardpos-hp clsc|hardpos client secret|hardpos client secret|hardpos client secret|hardpos client secret|hardpos client secret|hardpos client secret|hardpos client secret|hardpos client secret|Hardpos Client Secret
ep-hardpos-hp token|hardpos token|hardpos token|hardpos token|hardpos token|hardpos token|hardpos token|hardpos token|hardpos token|Hardpos Token
ep-st-isnew|new|nouveau|nowa|nieuwe|Neu|nuovo|nuevo|novo|Nei
ep-st-unauthorized|unauthorized|non autorisé|nieautoryzowana|ongeautoriseerd|Nicht autorisiert|non autorizzato|no autorizado|não autorizado|Net autoriséiert
ep-st-identified|scanned|scanné|zeskanowana|gescand|Gescannt|scansionato|escaneado|digitalizado|Gescannt
ep-st-pending|pending|en cours|oczekująca|in behandeling|Ausstehend|in sospeso|pendiente|pendente|Am Gaangen
ep-st-success|paid|encaissé|powodzenie|geslaagd|Erfolgreich|riuscito|correcto|bem-sucedido|Bezuelt
ep-st-refund|refund|remboursé|zwrócone|terugbetaald|erstattet|rimborsato|reembolsada|reembolsado|Zréckbezuelung
ep-st-expired|expired|expiré|wygasła|verlopen|Abgelaufen|scaduto|caducado|expirado|Verfall
ep-st-failed|failed|échoué|nieudana|mislukt|Fehlgeschlagen|non riuscito|fallido|com falha|Gescheitert
ep-st-cancelled|cancelled|annulé|anulowana|geannuleerd|Abgebrochen|annullato|cancelado|cancelado|Ofgesot
ep-tip start payment|start a payment|démarrer un paiement|rozpocznij płatność|een betaling starten|eine Zahlung starten|avviare un pagamento|iniciar un pago|iniciar um pagamento|Eng Bezuelung starten
ep-tip qrcode zoom|click to blur the background|cliquez pour flouter l'arrière plan|kliknij, aby rozmyć tło|klik om de achtergrond te vervagen|Klicken Sie, um den Hintergrund unscharf zu machen|fare clic per sfocare lo sfondo|haz clic para desenfocar el fondo|clique para desfocar o fundo|Klickt fir den Hannergrond ze verschwammen
choose a name|choose a name|choisir un nom|Wybierz nazwę|kies een naam|wähle einen Namen|scegli un nome|escoge un nombre|escolha um nome|Wielt en Numm
ep-copy here OTP|paste here the OTP|copier ici le OTP|wklej tutaj OTP|copiër hier de OTP|Fügen Sie hier den OTP ein|incolla qui l'OTP|pega aquí el OTP|cole aqui o OTP|Füügt hei den OTP an
ep-pair|pair the device|associer|sparuj urządzenie|verbinden|Koppeln Sie das Gerät|associare il dispositivo|emparejar el dispositivo|emparelhar o dispositivo|Apparat koppelen
ep-unpair|un-pair|dissocier|dysocjować|dissociëren|Entkoppeln Sie das Gerät|disaccoppiare|desemparejar|desemparelhar|Entkoppelen
ep-terminal name|terminal name|nom du terminal|nazwa terminala|betaalautomaat naam|Terminalname|nome del terminale|nombre del terminal|nome do terminal|Terminalnumm
ep-OTP|one time password|clé de liaison|klucz łącza|link sleutel|einmaliges Passwort|password una tantum|contraseña de un solo uso|senha de uso único|Eenmollegt Passwuert
ep-operator-unavailable|this payment method is temporarily not available|ce moyen de paiement est temporairement indisponible|ta metoda płatności jest chwilowo niedostępna|deze betaalwijze is tijdelijk niet beschikbaar|diese Zahlungsmethode ist vorübergehend nicht verfügbar|questo metodo di pagamento è temporaneamente non disponibile|este método de pago no está disponible temporalmente|este método de pagamento está temporariamente indisponível|Dëse Bezuelmethod ass temporär net verfügbar
bp-catfilter-colors-none|appointments in which no color is selected|les rendez-vous dans lesquels aucune couleur n'est sélectionnée|spotkania, na których nie jest wybrany żaden kolor|afspraken waarin geen kleur is geselecteerd|Termine, bei denen keine Farbe ausgewählt ist|appuntamenti in cui non è selezionato alcun colore|citas en las que no se selecciona ningún color|compromissos em que nenhuma cor é selecionada|Rendez-vous, bei deenen keng Faarf ausgewielt ass
bp-catfilter-colors-one|only appointments with the color selected above|uniquement les rendez-vous ayant la couleur sélectionnées ci-dessus|tylko wizyty z kolorem wybranym powyżej|alleen afspraken met de hierboven geselecteerde kleur|Nur Termine mit der oben ausgewählten Farbe|solo gli appuntamenti con il colore selezionato sopra|solo citas con el color seleccionado arriba|somente agendamentos com a cor selecionada acima|Nëmme Rendez-vous mat der uewen ausgewielter Faarf
bp-catfilter-colors-some|only appointments having one of the colors selected above|uniquement les rendez-vous ayant une des couleurs sélectionnées ci-dessus|tylko spotkania posiadające jeden z wybranych powyżej kolorów|alleen afspraken met een van de hierboven geselecteerde kleuren|Nur Termine mit einer der oben ausgewählten Farben|solo gli appuntamenti aventi uno dei colori sopra selezionati|sólo citas que tengan uno de los colores seleccionados arriba|apenas compromissos com uma das cores selecionadas acima|Nëmme Rendez-vous mat enger vun den uewen ausgewielten Faarwen
bp-catfilter-patterns-none|only appointments in which no pattern is selected|les rendez-vous dans lesquels aucun motifs n'est sélectionné|tylko spotkania, w których nie wybrano żadnego wzoru|alleen afspraken waarin geen patroon is geselecteerd|Nur Termine, bei denen kein Muster ausgewählt ist|solo gli appuntamenti in cui non è selezionato alcun modello|sólo citas en las que no se selecciona ningún patrón.|somente compromissos em que nenhum padrão está selecionado|Nëmme Rendez-vous, bei deenen kee Muster ausgewielt ass
bp-catfilter-patterns-one|only appointments with the selected above pattern|uniquement les rendez-vous avec le motif sélectionné ci-dessus|tylko spotkania z wybranym powyżej wzorem|alleen afspraken met het hierboven geselecteerde patroon|Nur Termine mit dem oben ausgewählten Muster|solo gli appuntamenti con il modello sopra selezionato|solo citas con el patrón seleccionado arriba.|somente agendamentos com o padrão selecionado acima|Nëmme Rendez-vous mat dem uewen ausgewielten Muster
bp-catfilter-patterns-some|only appointments with one of the patterns selected above|uniquement les rendez-vous ayant un des motifs sélectionnés ci-dessus|tylko spotkania z jednym z wybranych powyżej wzorów|alleen afspraken met een van de hierboven geselecteerde patronen|Nur Termine mit einem der oben ausgewählten Muster|solo appuntamenti con uno dei modelli selezionati sopra|solo citas con uno de los patrones seleccionados arriba|apenas agendamentos com um dos padrões selecionados acima|Nëmme Rendez-vous mat engem vun den uewen ausgewielten Musteren
bp-catfilter-user-none|regardless of the user who did it|qu'elle que soit l'utilisteur qui l'a fait|ale niezależnie od tego, kto ją wykonał|ongeacht de gebruiker die deze heeft uitgevoerd|jedoch unabhängig vom Benutzer, der sie ausgeführt hat|indipendentemente dall'utente che l'ha eseguita|anteriormente pero independientemente del usuario que la realizó|independentemente do usuário que a executou|Egal wéi en Notzer et gemaach huet
bp-catfilter-user-one|only by the selected user|seulement par l'utilisateur sélectionné|tylko przez wybranego użytkownika|alleen door de geselecteerde gebruiker|nur durch den ausgewählten Benutzer|solo dall'utente selezionato|solo por el usuario seleccionado|somente pelo usuário selecionado|Nëmme vum ausgewielten Notzer
bp-catfilter-user-some|only by selected users|seulement par les utilisateurs sélectionnés|tylko przez wybranych użytkowników|alleen door geselecteerde gebruikers|nur von ausgewählten Benutzern|solo da utenti selezionati|solo por usuarios seleccionados|somente por usuários selecionados|Nëmme vun ausgewielten Notzer
bp-catfilter-tags-none|only appointments that have at least one tag|seulement les rendez-vous qui ont au moins un tag|tylko spotkania, które mają co najmniej jeden tag|alleen afspraken die minstens één tag hebben|Nur Termine, die mindestens ein Tag haben|solo gli appuntamenti che hanno almeno un tag|solo citas que tengan al menos una etiqueta|apenas compromissos que tenham pelo menos uma tag|Nëmme Rendez-vous déi op d'mannst een Tag hunn
bp-catfilter-tags-one|only appointments that have the selected tag|seulement les rendez-vous qui ont le tag sélectionné|tylko spotkania posiadające wybrany tag|alleen afspraken met de geselecteerde tag|Nur Termine mit dem ausgewählten Tag|solo gli appuntamenti che hanno il tag selezionato|solo citas que tengan la etiqueta seleccionada|apenas compromissos que possuem a tag selecionada|Nëmme Rendez-vous mat dem ausgewielten Tag
bp-catfilter-tags-some|only appointments that have one of the tags you selected|seulement les rendez-vous qui ont l'un des tags que vous avez sélectionnés|tylko spotkania posiadające jeden z wybranych tagów|alleen afspraken met een van de door u geselecteerde tags|Nur Termine, die eines der von Ihnen ausgewählten Tags haben|solo gli appuntamenti che hanno uno dei tag selezionati|solo citas que tengan una de las etiquetas que usted seleccionó|apenas compromissos que tenham uma das tags que você selecionou|Nëmme Rendez-vous mat engem vun den ausgewielten Tags
bp-catfilter-act_1|appointments that were created but never modified nor deleted|rendez-vous créés mais jamais modifiés ni supprimés|spotkania, które zostały utworzone, ale nigdy nie zostały zmodyfikowane ani usunięte|afspraken die zijn gemaakt maar nooit zijn gewijzigd of verwijderd|Termine, die erstellt, aber nie geändert oder gelöscht wurden|appuntamenti creati ma mai modificati né cancellati|citas que se crearon pero nunca se modificaron ni eliminaron|compromissos que foram criados, mas nunca modificados nem excluídos|Rendez-vous, déi erstallt goufen, awer ni geännert oder geläscht goufen
bp-catfilter-act_2|appointments that were modified after their creation|les rendez-vous modifiés après leur création|spotkania, które zostały zmodyfikowane po ich utworzeniu|afspraken die zijn gewijzigd nadat ze zijn gemaakt|Besprechungen, die nach ihrer Erstellung geändert wurden|riunioni modificate dopo la loro creazione|citas que fueron modificadas después de su creación|reuniões que foram modificadas depois de terem sido criadas|Rendez-vous, déi no hirer Erschaffung geännert goufen
